School,URL,Street,City,State,CMS
Brentwood Elementary School,https://www.plainfield.k12.in.us/,1630 E Oliver St,Plainfield,IN,apptegy
Central Elementary School,https://www.plainfield.k12.in.us/o/central-elementary-school,110 Wabash St,Plainfield,IN,apptegy
Central Elementary School,http://central.lburg.k12.in.us/,500 Short St,Lawrenceburg,IN,apptegy
Clarks Creek Elementary,https://www.plainfield.k12.in.us/,401 Elm Dr,Plainfield,IN,apptegy
Crawford County Middle School,https://www.cccs.k12.in.us/,177 S 2nd St,Marengo,IN,apptegy
Crawford County High School,https://www.cccs.k12.in.us/,1130 S SR 66,Marengo,IN,apptegy
Clark Pleasant Middle School,http://www.cpcsc.k12.in.us/,1354 E Worthsville Road,Greenwood,IN,apptegy
Clark Elementary School,http://www.cpcsc.k12.in.us/,5764 E 700 N,Franklin,IN,apptegy
Greendale Middle School,http://greendale.lburg.k12.in.us/,200 Tiger Blvd,Lawrenceburg,IN,apptegy
Grassy Creek Elementary School,http://www.cpcsc.k12.in.us/o/gce,2111 Sheek Rd,Greenwood,IN,apptegy
Hebron Elementary School,http://www.hebron.k12.ct.us/,307 S Main St,Hebron,IN,apptegy
Howe School,http://www.howeschools.org/,PO Box 240,Howe,IN,apptegy
Lawrenceburg High School,http://www.lburg.k12.in.us/,100 Tiger Blvd,Lawrenceburg,IN,apptegy
Little Quakers Academy,https://www.plainfield.k12.in.us/o/little-quakers-academy,401 Elm Dr,Plainfield,IN,apptegy
Meadowview Elementary School,http://www.westview.k12.in.us/o/meadowview,7950 W 050 S,Shipshewana,IN,apptegy
Pleasant Crossing Elementary,http://www.cpcsc.k12.in.us/,3030 N 125 W,Whiteland,IN,apptegy
Plainfield Community Middle School,https://www.plainfield.k12.in.us/,709 Stafford Rd,Plainfield,IN,apptegy
Plainfield High School,https://www.plainfield.k12.in.us/,1 Red Pride Dr,Plainfield,IN,apptegy
Pioneer Elementary School,https://www.pioneer.k12.in.us/,PO Box 517,Royal Center,IN,apptegy
Pioneer Jr-Sr High School,https://www.pioneer.k12.in.us/,PO Box 547,Royal Center,IN,apptegy
Riverton Parke Jr-Sr High School,http://www.swparke.k12.in.us/,4907 S Coxville Rd,Montezuma,IN,apptegy
SE Neighborhood Sch of Excellence,http://www.senseindy.org/,1601 S Barth Ave,Indianapolis,IN,apptegy
Shenandoah Middle School,http://www.shenandoah.k12.in.us/,5156 N Raider Rd,Middletown,IN,apptegy
Shenandoah High School,http://www.shenandoah.k12.in.us/,7354 W US 36,Middletown,IN,apptegy
Sawmill Woods Elementary School,http://www.cpcsc.k12.in.us/,700 Sawmill Rd,New Whiteland,IN,apptegy
Shenandoah Elementary School,http://www.shenandoah.k12.in.us/,5256 N Raider Rd,Middletown,IN,apptegy
Southwestern High School,http://www.swjcs.k12.in.us/,167 S Main Cross St,Hanover,IN,apptegy
Southwestern Elementary School,http://www.swjcs.k12.in.us/,273 South Main Street,Hanover,IN,apptegy
Southwestern Middle School,http://www.swjcs.k12.in.us/,169 S Main Cross St,Hanover,IN,apptegy
Tipton Middle School,http://www.tcsc.k12.in.us/,817 S Main St,Tipton,IN,apptegy
Universal School of Plainfield,https://www.plainfield.k12.in.us/,2183 Stanley Rd,Plainfield,IN,apptegy
Van Buren Elementary School,https://www.plainfield.k12.in.us/,2075 E CR 1200 N,Brazil,IN,apptegy
Van Buren Elementary School,https://www.plainfield.k12.in.us/,225 S Shaw St,Plainfield,IN,apptegy
Wapahani High School,http://www.libertyperry.org/,10401 E CR 167 S,Selma,IN,apptegy
