Name,Street,City,State,
ADAMS CENTRAL JR-SR HIGH SCH,1090 S ADAMS RD,HASTINGS,NE,
AINSWORTH HIGH SCHOOL,520 E 2ND ST,AINSWORTH,NE,
ALLEN HIGH SCHOOL,126 E 5TH,ALLEN,NE,
ALLIANCE HIGH SCHOOL,1604 SWEETWATER,ALLIANCE,NE,
ALMA HIGH SCHOOL,515 JEWELL ST,ALMA,NE,
AMHERST HIGH SCHOOL,100 N SYCAMORE,AMHERST,NE,
AQUINAS HIGH SCHOOL,3420 MN ROAD,DAVID CITY,NE,
ARAPAHOE HIGH SCHOOL,610 WALNUT,ARAPAHOE,NE,
ARCADIA HIGH SCHOOL,320 W OWENS ST,ARCADIA,NE,
ARCHBISHOP BERGAN HIGH SCH,545 E 4TH ST,FREMONT,NE,
ARLINGTON HIGH SCHOOL,705 N 9TH,ARLINGTON,NE,
ARNOLD HIGH SCHOOL,405 N HASKELL,ARNOLD,NE,
ARTHUR COUNTY HIGH SCHOOL,111 ELM ST,ARTHUR,NE,
ASHLAND-GREENWOOD HIGH SCHOOL,1842 FURNAS STREET,ASHLAND,NE,
AUBURN HIGH SCHOOL,1829 CENTRAL AVE,AUBURN,NE,
AURORA HIGH SCHOOL,300 L ST,AURORA,NE,
AXTELL HIGH SCHOOL,500 MAIN ST,AXTELL,NE,
BANCROFT-ROSALIE JR/SR HIGH SCHOOL,708 MAIN ST,BANCROFT,NE,
BANNER COUNTY HIGH SCHOOL,200 SCHOOL ST,HARRISBURG,NE,
BATTLE CREEK HIGH SCHOOL,605 WEST MARTIN ST,BATTLE CREEK,NE,
BAYARD SECONDARY SCHOOL,726 4TH AVE,BAYARD,NE,
BEATRICE HIGH SCHOOL,600 ORANGE BLVD,BEATRICE,NE,
BELLEVUE EAST SR HIGH SCHOOL,1401 HIGH SCHOOL DR,BELLEVUE,NE,
BELLEVUE WEST SR HIGH SCHOOL,1501 THURSTON AVE,BELLEVUE,NE,
BENNINGTON HIGH SCHOOL,16610 BENNINGTON ROAD,BENNINGTON,NE,
BENSON MAGNET HIGH SCHOOL,5120 MAPLE ST,OMAHA,NE,
BERNIKLAU ED SOLUTIONS TEAM,11401 S 70TH,LINCOLN,NE,
BERTRAND HIGH SCHOOL,503 SCHOOL ST,BERTRAND,NE,
BISHOP NEUMANN HIGH SCHOOL,202 S LINDEN,WAHOO,NE,
BLAIR HIGH SCHOOL,440 N 10TH ST,BLAIR,NE,
BLOOMFIELD JR-SR HIGH SCHOOL,311 E BENTON,BLOOMFIELD,NE,
BOONE CENTRAL HIGH SCHOOL,605 S 6TH ST.,ALBION,NE,
BOYS TOWN HIGH SCHOOL,13803 FLANAGAN BLVD,BOYS TOWN,NE,
BRADY HIGH SCHOOL,112 E POPLETON AVE,BRADY,NE,
