Name,Address,City,State
A. Russell Knight Elementary School,140 Old Carriage Rd.,CHERRY HILL,NJ
A.E. Burling Elementary School,3600 HARRIS AVENUE,PENNSAUKEN,NJ
Abington Aveneu School,209 ABINGTON AVE,NEWARK,NJ
Abraham Lincoln Elementary School,325 MASON AVE,WYCKOFF,NJ
Abraham Lincoln School #6,111 PALISADE AVE,GARFIELD,NJ
Absegami High School,201 S  WRANGLEBORO ROAD,GALLOWAY,NJ
Academy I,209 BERGEN AVENUE,JERSEY CITY,NJ
Academy of Technology Design,525 Montgomery Street,Jersey City,NJ
Adlai E. Stevenson,15 KNOLL ROAD,FAIRFIELD,NJ
Adult Evening High School,2 Palisade Avenue,Jersey City,NJ
Adult High School and Post Secondary Programs,2000 85th Street,North Bergen,NJ
Adult Regional High School,1360 Tanyard Road,Sewell,NJ
Albert E Grice Middle School,901 WHITEHORSE HAMILTON SQ,HAMILTON,NJ
Albio Sires Elementary School,6300 PALISADE AVE,WEST NEW YORK,NJ
Alder Avenue Middle School,25 ALDER AVENUE,EGG HARBOR TOWNSHIP,NJ
Alexander D. Sullivan School,171 SEAVIEW AVE,JERSEY CITY,NJ
Alexander Denbo,ONE LEARNING WAY,BROWNS MILLS,NJ
Alexander Elementary School,20 ROBERT FROST DRIVE,HAMILTON,NJ
ALEXANDER HAMILTON SCHOOL,380 HARRISTOWN ROAD,GLEN ROCK,NJ
Alexandria Middle School,557 County Rd. 513,Pittstown,NJ
Alfred Cramer College Preparatory Lab School,2800 MICKLE STREET,CAMDEN,NJ
Alfred S. Faust,100 Uhland Street,East Rutherford,NJ
Alfred Zampella School,201 NORTH ST,JERSEY CITY,NJ
Alice Costello Elementary School,301 Haakon rd.,BROOKLAWN,NJ
Aline Bingham Elementary School,100 FIRST & ORCHARD AVE,RUNNEMEDE,NJ
Alpine Elementary School,500 HILLSIDE AVENUE,ALPINE,NJ
Alternative High School,MALBERG BUILDING,CHERRY HILL,NJ
Alternative School at Levitt,50 Martin Luther King Jr. Blvd,Willingboro,NJ
Althea Gibson Academy,490  WILLIAM STREET,EAST ORANGE,NJ
American History High School,74 Montgomery St,NEWARK,NJ
Ann A. Mullen Middle School,1400 SICKLERVILLE ROAD,SICKLERVILLE,NJ
Ann Blanche Smith,1000 HILLSDALE AVE,HILLSDALE,NJ
Ann Street School,30 ANN ST,NEWARK,NJ
Anna C. Scott Elementary School,100 Highland Street,Leonia,NJ
Anna L. Klein,301  69TH ST,GUTTENBERG,NJ
Anthony Rossi Elementary School,2572 PALERMO AVE,VINELAND,NJ
Applied Technology High School,400 Paramus Road,Paramus,NJ
Arthur Rann Elementary School,515 S EIGHTH AVE,GALLOWAY,NJ
Arts High School,550 M  L  KING BLVD,NEWARK,NJ
Ashbrook Elementary School,33 MUNICIPAL DRIVE,LUMBERTON,NJ
Atco Elementary,2162 COOPER ROAD,ATCO,NJ
Atlantic Avenue,21 East Atlantic Avenue,HADDON HEIGHTS,NJ
Atlantic City High School,1400 N Albany Avenue,Atlantic City,NJ
Atlantic County Alternative High School,4805 Nawakwa Blvd,Mays Landing,NJ
Atlantic County Elementary and Middle Schools,4805 NAWAKWA BOULEVARD,MAYS LANDING,NJ
Atlantic County High School,4805 NAWAKWA BOULEVARD,MAYS LANDING,NJ
Atlantic County Institute of Technology,5080 ATLANTIC AVENUE,MAYS LANDING,NJ
Atlantis Elementary School,3 SCHOOL ROAD,Joint Base MDL,NJ
Audubon Junior/Senior High School,350 EDGEWOOD AVENUE,AUDUBON,NJ
Augusta Preschool Academy,97 AUGUSTA STREET,IRVINGTON,NJ
Aura Elementary School,900 Clems Run,GLASSBORO,NJ
AUTISTIC,540 Farview Avenue,Paramus,NJ
Avalon Elementary School,235 32ND STREET,AVALON,NJ
Avon Elementary School,862 MERCER DR,HADDONFIELD,NJ
B. Bernice Young Elementary School,1203 NECK ROAD,BURLINGTON,NJ
B.R.I.C.K. Avon Academy,219 AVON AVE,NEWARK,NJ
B.R.I.C.K. Peshine Academy,433 Peshine Avenue,NEWARK,NJ
Baldwin Elementary School,41ST & SHARON TERRACE,PENNSAUKEN,NJ
Bankbridge Regional School,870 Bankbridge Road,Sewell,NJ
Barclay Early Childhood Center,1220 Winston Way,CHERRY HILL,NJ
Bard Early College High School,321 BERGEN STREET,NEWARK,NJ
Barley Sheaf Elementary School,80 BARLEY SHEAF ROAD,FLEMINGTON,NJ
Barringer Academy of S.T.E.A.M.,90 Parker Street,Newark,NJ
Barringer Arts High School,90 PARKER ST,NEWARK,NJ
BASS RIVER TOWNSHIP ELEMENTARY SCHOOL,11 NORTH MAPLE AVENUE,NEW GRETNA,NJ
Bayonne Academy,669 Avenue A,Bayonne,NJ
Bayonne Alternative High School,669 Avenue A,Bayonne,NJ
Bayonne High School,669 AVENUE A,BAYONNE,NJ
Bear Tavern Elementary School,1162 BEAR TAVERN ROAD,TITUSVILLE,NJ
Belhaven Middle School,51 BELHAVEN AVENUE,LINWOOD,NJ
Bell Oaks Upper Elementary School,256  ANDERSON AVENUE,BELLMAWR,NJ
Belleville High School,100 PASSAIC AVE,BELLEVILLE,NJ
Belleville Middle School,279 WASHINGTON AVE,BELLEVILLE,NJ
Belleville PS10,527 BELLEVILLE AVE,BELLEVILLE,NJ
Belleville PS3,230 JORALEMON ST,BELLEVILLE,NJ
Belleville PS4,30 MAGNOLIA ST,BELLEVILLE,NJ
Belleville PS5,149 ADELAIDE ST,BELLEVILLE,NJ
Belleville PS7,20 PASSAIC AVE,BELLEVILLE,NJ
Belleville PS8,183 UNION AVE,BELLEVILLE,NJ
Belleville PS9,301 RALPH ST,BELLEVILLE,NJ
Bellmawr Park Elementary School,29 PEACH ROAD,BELLMAWR,NJ
Bells Elementary School,227 GREENTREE RD,TURNERSVILLE,NJ
Belmont Runyon Elementary School,1 BELMONT RUNYON WAY,NEWARK,NJ
Ben Franklin Elementary,2939 PRINCETON PIKE,LAWRENCEVILLE,NJ
Benjamin Banneker Academy,500 South Clinton Street,EAST ORANGE,NJ
Benjamin Franklin Elementary School,7201 IRVING AVENUE,PENNSAUKEN,NJ
Benjamin Franklin Elementary School,42 PARK AVE,NEWARK,NJ
Benjamin Franklin Middle School,335 NORTH VAN DIEN AVE,RIDGEWOOD,NJ
Benjamin Franklin Middle School,1315 TAFT ROAD,TEANECK,NJ
Bergen Boulevard School,635 BERGEN BLVD,RIDGEFIELD,NJ
Bergen County Academies,200 Hackensack Avenue,Hackensack,NJ
Bergen County Technical High School - Paramus,E.285 Pascack Road,Paramus,NJ
Bergen County Technical High School - Paramus,E.285 Pascack Road,Paramus,NJ
Bergen County Technical High School - Teterboro,504 Route 46 West,Teterboro,NJ
Bergen County Technical Schools Adult & Continuing Education,200A Hackensack Avenue,Hackensack,NJ
Bergenfield High School,80 S PROSPECT AVE,BERGENFIELD,NJ
Berkeley Elementary,47 BERKELEY AVE,WESTWOOD,NJ
Berkeley Elementary School,351 Bloomfield Ave,Bloomfield,NJ
Berkeley Terrace Elementary School,787     GROVE STREET,IRVINGTON,NJ
Berkley Street School,812 BERKLEY STREET,NEW MILFORD,NJ
Berlin Community School,215 S FRANKLIN AVE,BERLIN,NJ
Bertrand F. Gibbs Elementary School,195 SUTTON PLACE,NEW MILFORD,NJ
Betsy Ross Elementary,20 MALCOLM RD,MAHWAH,NJ
Betty Maddalena Early Learning Center,747 Nothfield Avenue,West Orange,NJ
Beverly City School,601 BENTLEY AVE,BEVERLY,NJ
Billingsport Elementary School,441 NASSAU AVE,PAULSBORO,NJ
Birches Elementary School,416 WESTMINSTER BLVD,TURNERSVILLE,NJ
Blackwood Elementary School,260 BLENHEIM  ERIAL RD,BLACKWOOD,NJ
Bloomfield High School,160 Broad Street,Bloomfield,NJ
Bloomfield Middle School,60 Huck Road,Bloomfield,NJ
Bloomsbury Borough School,20 Main Street,Bloomsbury,NJ
Bobby's Run Elementary School,32 DIMSDALE DRIVE,LUMBERTON,NJ
Bogota Jr./Sr. High School,2 HENRY C  LUTHIN PLACE,BOGOTA,NJ
Bordentown Regional High School,318 WARD AVE,BORDENTOWN,NJ
Bordentown Regional Middle School,50 DUNNS MILL ROAD,BORDENTOWN,NJ
Bradford Elementary School,87 MT HEBRON RD,UPPER MONTCLAIR,NJ
Branch Brook School,228 RIDGE ST,NEWARK,NJ
Bret Harte Elementary School,1909 Queen Anne Dr.,CHERRY HILL,NJ
Bridgeton High School,111 N WEST AVENUE,BRIDGETON,NJ
Brigantine Elementary School,301 E  EVANS BOULEVARD,BRIGANTINE,NJ
Brigantine North Middle School,301 E  EVANS BOULEVARD,BRIGANTINE,NJ
Brighton Avenue School,30 N. Brighton Avenue,Atlantic City,NJ
Broad Street Elementary School,255 WEST BROAD ST,GIBBSTOWN,NJ
Broad Street School,251 WEST BROAD STREET,BRIDGETON,NJ
Brookdale Avenue School,14 BROOKDALE COURT,VERONA,NJ
Brookdale Elementary School,1230 Broad Street,Bloomfield,NJ
Brookside Elementary School,20 LAKE DRIVE,WESTWOOD,NJ
Brookside School,100 Brookside Avenue,Allendale,NJ
Bruce Street School For The Deaf,333 CLINTON PL,NEWARK,NJ
Buckshutem Road School,550 BUCKSHUTEM ROAD,BRIDGETON,NJ
Buena Regional High School,125 WEYMOUTH ROAD,BUENA,NJ
Buena Regional Middle School,175 WEYMOUTH RD,BUENA,NJ
Bunker Hill Middle School,372 PITMAN  DOWNER RD,SEWELL,NJ
Burlington City High School,100 Blue Devil WAy,BURLINGTON,NJ
Burlington County Alternative High School,1020 Briggs Road,Mt. Laurel,NJ
Burlington County Institute of Technology - Evening,695 Woodlane Road,Westampton,NJ
Burlington County Institute of Technology - Medford,10 Hawkin Road,Medford,NJ
