Account Name,Industry,Account Source,School Name,School District,County,Account Status,Street Address,,City,Country,Created,Created By,Details
Abington Aveneu School - Newark Public School District,Education,New Jersey Public Records - School Data,Abington Aveneu School,Newark Public School District - Essex County,Essex,None,209 Abington Ave,,Newark,United States,1/25/19 23:55,Brandon Lipman,
Abraham Lincoln Elementary School - Wyckoff Township Public School District,Education,New Jersey Public Records - School Data,Abraham Lincoln Elementary School,Wyckoff Township Public School District - Bergen County,Bergen,None,325 Mason Ave,,Wyckoff,United States,1/25/19 23:54,Brandon Lipman,
Abraham Lincoln School #6 - Garfield Public School District,Education,New Jersey Public Records - School Data,Abraham Lincoln School #6,Garfield Public School District - Bergen County,Bergen,None,111 Palisade Ave,,Garfield,United States,1/25/19 23:54,Brandon Lipman,
Absegami High School - Greater Egg Harbor Regional High School District,Education,New Jersey Public Records - School Data,Absegami High School,Greater Egg Harbor Regional High School District - Atlantic County,Atlantic,None,201 S Wrangleboro Road,,Galloway,United States,1/25/19 23:54,Brandon Lipman,
Academy I - Jersey City Public Schools,Education,New Jersey Public Records - School Data,Academy I,Jersey City Public Schools - Hudson County,Hudson,None,209 Bergen Avenue,,Jersey City,United States,1/25/19 23:56,Brandon Lipman,
Academy Of Technology Design - Hudson County Schools Of Technology School District,Education,New Jersey Public Records - School Data,Academy Of Technology Design,Hudson County Schools Of Technology School District - Hudson County,Hudson,None,525 Montgomery Street,,Jersey City,United States,1/25/19 23:56,Brandon Lipman,
Adlai E. Stevenson - Fairfield Public Schools School District,Education,New Jersey Public Records - School Data,Adlai E. Stevenson,Fairfield Public Schools School District - Essex County,Essex,None,15 Knoll Road,,Fairfield,United States,1/25/19 23:55,Brandon Lipman,
Adult Evening High School - Jersey City Public Schools,Education,New Jersey Public Records - School Data,Adult Evening High School,Jersey City Public Schools - Hudson County,Hudson,None,2 Palisade Avenue,,Jersey City,United States,1/25/19 23:56,Brandon Lipman,
Adult High School And Post Secondary Programs - Hudson County Schools Of Technology School District,Education,New Jersey Public Records - School Data,Adult High School And Post Secondary Programs,Hudson County Schools Of Technology School District - Hudson County,Hudson,None,2000 85Th Street,,North Bergen,United States,1/25/19 23:56,Brandon Lipman,
Adult Regional High School - Gloucester County Vocational-Technical School District,Education,New Jersey Public Records - School Data,Adult Regional High School,Gloucester County Vocational-Technical School District - Gloucester County,Gloucester,None,1360 Tanyard Road,,Sewell,United States,1/25/19 23:56,Brandon Lipman,
A.E. Burling Elementary School - Pennsauken Township Board Of Education School District,Education,New Jersey Public Records - School Data,A.E. Burling Elementary School,Pennsauken Township Board Of Education School District - Camden County,Camden,None,3600 Harris Avenue,,Pennsauken,United States,1/25/19 23:55,Brandon Lipman,
Albert E Grice Middle School - Hamilton Township Public School District,Education,New Jersey Public Records - School Data,Albert E Grice Middle School,Hamilton Township Public School District - Mercer County,Mercer,None,901 Whitehorse Hamilton Sq,,Hamilton,United States,1/25/19 23:56,Brandon Lipman,
Albio Sires Elementary School - West New York Board Of Education,Education,New Jersey Public Records - School Data,Albio Sires Elementary School,West New York Board Of Education - Hudson County,Hudson,None,6300 Palisade Ave,,West New York,United States,1/25/19 23:56,Brandon Lipman,
Alder Avenue Middle School - Egg Harbor Township School District,Education,New Jersey Public Records - School Data,Alder Avenue Middle School,Egg Harbor Township School District - Atlantic County,Atlantic,None,25 Alder Avenue,,Egg Harbor Township,United States,1/25/19 23:54,Brandon Lipman,
Alexander Denbo - Pemberton Township School District,Education,New Jersey Public Records - School Data,Alexander Denbo,Pemberton Township School District - Burlington County,Burlington,None,One Learning Way,,Browns Mills,United States,1/25/19 23:55,Brandon Lipman,
Alexander D. Sullivan School - Jersey City Public Schools,Education,New Jersey Public Records - School Data,Alexander D. Sullivan School,Jersey City Public Schools - Hudson County,Hudson,None,171 Seaview Ave,,Jersey City,United States,1/25/19 23:56,Brandon Lipman,
Alexander Elementary School - Hamilton Township Public School District,Education,New Jersey Public Records - School Data,Alexander Elementary School,Hamilton Township Public School District - Mercer County,Mercer,None,20 Robert Frost Drive,,Hamilton,United States,1/25/19 23:56,Brandon Lipman,
Alexander Hamilton School - Glen Rock Public School District,Education,New Jersey Public Records - School Data,Alexander Hamilton School,Glen Rock Public School District - Bergen County,Bergen,None,380 Harristown Road,,Glen Rock,United States,1/25/19 23:54,Brandon Lipman,
Alexandria Middle School - Alexandria Township School District,Education,New Jersey Public Records - School Data,Alexandria Middle School,Alexandria Township School District - Hunterdon County,Hunterdon,None,557 County Rd. 513 Alexandria Middle School,,Pittstown,United States,1/25/19 23:56,Brandon Lipman,
Alfred Cramer College Preparatory Lab School - Camden City School District,Education,New Jersey Public Records - School Data,Alfred Cramer College Preparatory Lab School,Camden City School District - Camden County,Camden,None,2800 Mickle Street,,Camden,United States,1/25/19 23:55,Brandon Lipman,
Alfred S. Faust - East Rutherford School District,Education,New Jersey Public Records - School Data,Alfred S. Faust,East Rutherford School District - Bergen County,Bergen,None,100 Uhland Street,,East Rutherford,United States,1/25/19 23:54,Brandon Lipman,
Alfred Zampella School - Jersey City Public Schools,Education,New Jersey Public Records - School Data,Alfred Zampella School,Jersey City Public Schools - Hudson County,Hudson,None,201 North St,,Jersey City,United States,1/25/19 23:56,Brandon Lipman,
Alice Costello Elementary School - Brooklawn Public School District,Education,New Jersey Public Records - School Data,Alice Costello Elementary School,Brooklawn Public School District - Camden County,Camden,None,301 Haakon Rd.,,Brooklawn,United States,1/25/19 23:55,Brandon Lipman,
Aline Bingham Elementary School - Runnemede Public School District,Education,New Jersey Public Records - School Data,Aline Bingham Elementary School,Runnemede Public School District - Camden County,Camden,None,100 First & Orchard Ave,,Runnemede,United States,1/25/19 23:55,Brandon Lipman,
Alpine Elementary School - Alpine Elementary School District,Education,New Jersey Public Records - School Data,Alpine Elementary School,Alpine Elementary School District - Bergen County,Bergen,None,500 Hillside Avenue,,Alpine,United States,1/25/19 23:54,Brandon Lipman,
Alternative High School - Cherry Hill School District,Education,New Jersey Public Records - School Data,Alternative High School,Cherry Hill School District - Camden County,Camden,None,Malberg Building 45 Ranoldo Terrace,,Cherry Hill,United States,1/25/19 23:55,Brandon Lipman,
Alternative School At Levitt - Willingboro Public School District,Education,New Jersey Public Records - School Data,Alternative School At Levitt,Willingboro Public School District - Burlington County,Burlington,None,50 Martin Luther King Jr. Blvd,,Willingboro,United States,1/25/19 23:55,Brandon Lipman,
Althea Gibson Academy - East Orange School District,Education,New Jersey Public Records - School Data,Althea Gibson Academy,East Orange School District - Essex County,Essex,None,490 William Street William Street,,East Orange,United States,1/25/19 23:55,Brandon Lipman,
