WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.Lead_ID,Input.Website,Input.Company,Input.Google_Search_Name,Answer.Industry,Answer.Sub-Industry,Answer.Website Found in,Approve,Reject
A2HS7Q2MMN5MME,Approved,Tue Aug 14 17:30:07 PDT 2018,Tue Aug 14 17:30:11 PDT 2018,Tue Aug 21 17:30:11 PDT 2018,Wed Aug 15 09:14:33 PDT 2018,,,4,96% (13084/13603),78% (1795/2304),78% (1795/2304),00Q5000001K0ca1EAB,http://www.birminghamgreen.org,Birmingham Green,Birmingham Green Bloomberg company profile,Adult Day Care Centers,Adult Day Care Centers,https://www.manta.com/c/mm8wkcg/birmingham-green-adult-care-residence,,
A2HS7Q2MMN5MME,Approved,Tue Aug 14 19:34:02 PDT 2018,Tue Aug 14 19:34:06 PDT 2018,Tue Aug 21 19:34:06 PDT 2018,Wed Aug 15 09:22:25 PDT 2018,,,4,96% (13084/13603),78% (1795/2304),78% (1795/2304),00Q5000001K0d4dEAB,http://www.capousd.org,CUSD,CUSD Bloomberg company profile,Adult Education Schools,Adult Education Schools,https://www.manta.com/c/mm2lnby/clovis-unified-school-district,,
A2HS7Q2MMN5MME,Approved,Tue Aug 14 15:05:23 PDT 2018,Tue Aug 14 15:05:27 PDT 2018,Tue Aug 21 15:05:27 PDT 2018,Wed Aug 15 09:11:47 PDT 2018,,,4,96% (13084/13603),78% (1795/2304),78% (1795/2304),00Q5000001HpzwfEAB,,All States Materials Group,All States Materials Group Bloomberg company profile,Aerospace & Defense,Aircraft & Parts,https://www.bloomberg.com/profiles/companies/1382737D:US-ae-materials-group-inc,,
A2HS7Q2MMN5MME,Approved,Tue Aug 14 15:35:33 PDT 2018,Tue Aug 14 15:35:36 PDT 2018,Tue Aug 21 15:35:36 PDT 2018,Wed Aug 15 09:15:00 PDT 2018,,,3,96% (13084/13603),78% (1795/2304),78% (1795/2304),00Q5000001K0cUkEAJ,http://www.aurora.aero,Aurora Flight Sciences Corporation,Aurora Flight Sciences Corporation Bloomberg company profile,Aerospace & Defense,Aircraft & Parts,https://www.bloomberg.com/profiles/companies/7630907Z:US-aurora-flight-sciences-of-west-virginia-inc,,
A2HS7Q2MMN5MME,Approved,Tue Aug 14 18:16:16 PDT 2018,Tue Aug 14 18:16:22 PDT 2018,Tue Aug 21 18:16:22 PDT 2018,Wed Aug 15 09:17:35 PDT 2018,,,6,96% (13084/13603),78% (1795/2304),78% (1795/2304),00Q5000001HqF1jEAF,www.boeing.com,Boeing,Boeing Bloomberg company profile,Aerospace & Defense,Aircraft & Parts,https://www.bloomberg.com/profiles/companies/0855556D:US-boeing-lts-inc,,
A2HS7Q2MMN5MME,Approved,Tue Aug 14 18:58:10 PDT 2018,Tue Aug 14 18:58:12 PDT 2018,Tue Aug 21 18:58:12 PDT 2018,Wed Aug 15 09:22:04 PDT 2018,,,2,96% (13084/13603),78% (1795/2304),78% (1795/2304),00Q5000001K0cyyEAB,http://www.componentrepair.com,Component Repair Technologies,Component Repair Technologies Bloomberg company profile,Aerospace & Defense,Aircraft & Parts,https://www.bloomberg.com/profiles/companies/0604409D:US-component-repair-technologies-inc,,
A2HS7Q2MMN5MME,Approved,Tue Aug 14 19:45:04 PDT 2018,Tue Aug 14 19:45:07 PDT 2018,Tue Aug 21 19:45:07 PDT 2018,Wed Aug 15 09:24:53 PDT 2018,,,3,96% (13084/13603),78% (1795/2304),78% (1795/2304),00Q5000001KRyYxEAL,ducommun.com,Ducommun Aero Structures,Ducommun Aero Structures Bloomberg company profile,Aerospace & Defense,Aircraft & Parts,https://www.bloomberg.com/profiles/companies/0070235D:US-ducommun-aerostructures-inc,,
A2HS7Q2MMN5MME,Approved,Tue Aug 14 18:03:28 PDT 2018,Tue Aug 14 18:03:30 PDT 2018,Tue Aug 21 18:03:30 PDT 2018,Wed Aug 15 09:21:35 PDT 2018,,,2,96% (13084/13603),78% (1795/2304),78% (1795/2304),00Q5000001K0cmaEAB,http://www.cherryaerospace.com,"Cherry Aerospace, a SPS Technologies Company","Cherry Aerospace, a SPS Technologies Company Bloomberg company profile",Aerospace Industries,Aerospace Industries,https://www.manta.com/c/mtkdgx9/cherry-aerospace-sps-fastener,,
A2HS7Q2MMN5MME,Approved,Tue Aug 14 19:07:50 PDT 2018,Tue Aug 14 19:07:57 PDT 2018,Tue Aug 21 19:07:57 PDT 2018,Wed Aug 15 09:24:37 PDT 2018,,,7,96% (13084/13603),78% (1795/2304),78% (1795/2304),00Q5000001K0d81EAB,http://www.deeringwine.com/,Deering Wine,Deering Wine Bloomberg company profile,Agriculture,Crop Planting,https://www.manta.com/mb_35_C02D102X_000/vines_cultivation_of,,
A2HS7Q2MMN5MME,Approved,Tue Aug 14 17:47:29 PDT 2018,Tue Aug 14 17:47:35 PDT 2018,Tue Aug 21 17:47:35 PDT 2018,Wed Aug 15 09:18:26 PDT 2018,,,6,96% (13084/13603),78% (1795/2304),78% (1795/2304),00Q5000001K0cjGEAR,http://www.ywproduce.com/,Carman Yang,Carman Yang Bloomberg company profile,Agriculture,Food Crops Grown Under Cover,https://www.manta.com/c/mm8zvzf/y-w-international-inc,,
